2,12,3,1,15,2,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,21,9,3,12,0,46,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,7,1,20,2,35,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,3,0,12,0,34,4,4,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,7,1,20,2,32,3,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,3,0,12,0,27,4,7,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,6,2,16,2,38,4,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,3,1,20,4,23,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18,5,2,16,2,38,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,22,7,2,12,0,48,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,7,2,18,0,38,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,10,3,18,0,39,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,8,1,18,0,33,4,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,10,2,18,0,42,5,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,3,0,12,0,32,4,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,7,2,18,0,38,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15,7,2,18,0,40,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,7,2,18,0,35,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,13,10,3,18,0,37,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,9,2,18,0,39,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,4,1,10,2,35,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,17,9,3,18,0,46,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
